epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.975,0.60452,2.80118,1.25456,0.80536,0.97143,0.94824,0.79039,0.55374,2.8915,1.09103,0.00026672,0.00026672,0.00026672
2,205.775,0.51513,1.89927,1.13134,0.98435,0.89865,0.98337,0.88337,0.52068,2.34931,1.04713,0.000495649,0.000495649,0.000495649
3,293.191,0.39758,2.11987,0.97381,0.90471,0.94946,0.97532,0.87014,0.49157,2.03249,1.02299,0.000668467,0.000668467,0.000668467
4,381.941,0.55566,1.58133,1.17107,0.91217,0.92857,0.9399,0.81627,0.51251,1.8677,1.08877,0.000785174,0.000785174,0.000785174
5,471.129,0.45907,1.23004,1.07368,0.84316,0.94286,0.93435,0.7662,0.60564,1.61639,1.2858,0.000845769,0.000845769,0.000845769
6,561.544,0.41762,1.12865,1.00283,0.93724,0.97143,0.98281,0.89006,0.37341,1.16155,0.90839,0.000841835,0.000841835,0.000841835
7,655.194,0.35009,1.04307,0.95662,0.98374,0.98571,0.99373,0.86981,0.38305,1.13415,0.89804,0.000676802,0.000676802,0.000676802
8,744.573,0.31309,0.93193,0.93959,0.99786,1,0.995,0.9388,0.34023,0.88024,0.84678,0.000511769,0.000511769,0.000511769
9,828.811,0.29082,0.88317,0.91288,0.99864,1,0.995,0.95932,0.29349,0.79422,0.81986,0.000346736,0.000346736,0.000346736
10,913.642,0.30228,0.89486,0.91819,0.99842,1,0.995,0.96356,0.25865,0.73432,0.79094,0.000181703,0.000181703,0.000181703
